"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1261","API 7 - Deve logar com credenciais válidas","","Mon Sep 01 15:20:47 BRT 2025","passed","Mon Sep 01 15:20:49 BRT 2025","","api\login.spec.ts","",""
"","328","API 6 - Deve retornar erro 400 se não enviar search_product","","Mon Sep 01 15:20:50 BRT 2025","passed","Mon Sep 01 15:20:50 BRT 2025","","api\search.spec.ts","",""
"","505","API 13 - Deve atualizar conta do usuário","","Mon Sep 01 15:20:51 BRT 2025","passed","Mon Sep 01 15:20:52 BRT 2025","","api\users.spec.ts","",""
"","959","API 3 - Deve retornar todas as marcas","","Mon Sep 01 15:20:47 BRT 2025","passed","Mon Sep 01 15:20:48 BRT 2025","","api\brands.spec.ts","",""
"","256","API 4 - Deve retornar erro 405 ao enviar PUT para brandsList","","Mon Sep 01 15:20:48 BRT 2025","passed","Mon Sep 01 15:20:49 BRT 2025","","api\brands.spec.ts","",""
"","250","API 14 - Deve buscar usuário por email","","Mon Sep 01 15:20:52 BRT 2025","passed","Mon Sep 01 15:20:52 BRT 2025","","api\users.spec.ts","",""
"","1402","API 1 - Deve retornar todos os produtos","","Mon Sep 01 15:20:49 BRT 2025","passed","Mon Sep 01 15:20:50 BRT 2025","","api\products.spec.ts","",""
"","316","API 11 - Deve criar novo usuário","","Mon Sep 01 15:20:51 BRT 2025","passed","Mon Sep 01 15:20:51 BRT 2025","","api\users.spec.ts","",""
"","1356","API 5 - Deve buscar produtos por palavra-chave","","Mon Sep 01 15:20:49 BRT 2025","passed","Mon Sep 01 15:20:50 BRT 2025","","api\search.spec.ts","",""
"","326","API 2 - Deve retornar erro 405 ao enviar POST para productsList","","Mon Sep 01 15:20:50 BRT 2025","passed","Mon Sep 01 15:20:51 BRT 2025","","api\products.spec.ts","",""
"","270","API 12 - Deve deletar conta de usuário","","Mon Sep 01 15:20:51 BRT 2025","passed","Mon Sep 01 15:20:51 BRT 2025","","api\users.spec.ts","",""
